"pdf_name","keyword","page_num","line_num","line_text"
"Sample-2.pdf","Limitation","12","335","32.4      Exceptions to exclusions and limitations Nothing in this Agreement shall operate to exclude or limit any person's liability for: 32.4.1  death or personal injury resulting from its negligence within the meaning of section 1(1) of the Unfair Contract Terms Act 1977; or 32.4.2  breach of its obligations arising from section 12 of the Sale of Goods Act 1979; or 32.4.3  breach by it of Clause 22 (Security Requirements), 22.7, 24 (Compliance with Clifford Chance Policies), or 40 (Confidentiality); or 32.4.4  any obligation on it to indemnify any other person under this Agreement; or 32.4.5  its fraud or the fraud of any of its employees or agents; or 32.4.6  (in the case of the Supplier only) the intentional breach or repudiation by the Supplier of any of its obligations under this Agreement or wrongful termination by it of this Agreement or wilful refusal by it to perform or abandonment of the performance of its obligations under this Agreement; or 53782-3-3224 v.01                                 - 35 -                                      OFFICE  EXECUTION VERSION 32.4.7  any other liability that cannot be excluded or restricted under Applicable Law. "
"Sample-2.pdf","Limitation","12","348","SUPPLIER WARRANTIES 36.1      The Supplier represents, warrants and undertakes to Clifford Chance that: 36.1.1   all Core Services and other obligations will be provided and performed in accordance with the provisions of this Agreement; 36.1.2   it has all requisite power, authority and licences to enter into this Agreement and fulfil all of its other obligations under this Agreement; 36.1.3   as of the Effective Date it is of good financial standing; 36.1.4   execution, delivery and performance of this Agreement does not and will not violate any judgment, order, or decree and does not and will not constitute a material default or breach under any of the Supplier's existing or future obligations; 36.1.5   it is not insolvent as defined in section 123 of the Insolvency Act 1986 or any equivalent or similar position in any jurisdiction (i.e., in any form of administration, receivership, court initiated restructuring or similar event) causing it to be restricted in its actions; and that there is/are no: (a) material suit, cause of action, proceeding, application, claim or investigation (including without limitation any product liability or workers' compensation claim), whether current, pending, threatened or in prospect against the Supplier; (b) material breach or default or alleged material breach or default of any similar agreement (in terms of either the scope of Core Services), award or order binding upon the Supplier; and material matters relating to the commercial, technical or financial capacity of the Supplier, in each case that may adversely affect the Supplier's ability to perform any of its obligations under this Agreement; 36.1.6   it has taken all steps (including making all appropriate inquiries and obtaining all appropriate professional or technical advice) to satisfy itself as to all risks, contingencies and circumstances to do with the performance of the Core Services (and the Supplier will be required to acknowledge that it will have no claim in respect of any risk, contingency or other circumstance not caused by Clifford Chance's breach of this Agreement). "
"Sample-2.pdf","Limitation","21","708","Without limitation, the Supplier shall promptly provide upon request by Clifford Chance or such an agent: 53782-3-3224 v.01                                - 88 -                                    OFFICE  (a)      Full and un-restricted access, locally and remotely (where appropriate), to all systems used in providing a service to Clifford Chance. (b)      Lists of all user IDs that can administer Clifford Chance systems, or those used to provide a service to Clifford Chance, and the associated individuals who have the passwords or authentication devices corresponding to those IDs. (c)      Lists of all access control settings on all systems used to provide a service to Clifford Chance. "
"Sample-2.pdf","Limitation","24","833","1.11.1  All equipment, including, without limitation, computers, printers, scanners and fax machines, used to perform the Services shall be located within the Production Area, and the Services must always be performed within the Production Area. "
"Sample-2.pdf","Liabilities","11","326","LIABILITY 32.1      Consequences of termination If Clifford Chance terminates this Agreement, in whole or in part, in exercise of a right arising because of the Supplier's breach of this Agreement, that termination (and losses, liabilities and costs incurred as a direct result of that termination) will be deemed to be a direct result of the default or defaults of the Supplier giving rise to the termination. "
"Sample-2.pdf","Indemnity","4","68","Conduct of Indemnity Claims ........................................................................................ "
"Sample-2.pdf","Indemnity","6","117","INTERPRETATION 1.1       Unless otherwise specified, the following terms shall have the following meanings in this Agreement: ""24 x 7 x 365"" means, in relation to any of the Core Services, a continuous period of time which runs twenty-four hours per day on every day of every calendar year, including, for the avoidance of doubt, public holidays, weekends and any other day on which business may not usually be conducted; ""Anti-Bribery Laws"" means, to the extent applicable to the Company or any Shareholder (as applicable) from time to time, the US Foreign Corrupt Practices Act 1977, as amended, any rules and regulations thereunder, the Bribery Act 2010 and any similar laws or regulations in any other jurisdiction; ""Applicable Laws"" means applicable laws, rules, regulations, regulatory guidance, regulatory requirements and any form of secondary legislation, resolution, policy guideline, concession or case law from time to time; 53782-3-3224 v.01                               -1-                                       OFFICE  EXECUTION VERSION “Assisted Go Live Date” means the date on which the Supplier starts delivering the Core Services from its premises, however with support from other teams at Clifford Chance ""Authorised Users"" means any other person authorised by Clifford Chance from time to time to be a recipient or beneficiary of the Core Services; ""Business Day"" means each day other than a Saturday, Sunday or public holiday in England; ""Clifford Chance Personal Data"" has the meaning given to it in Clause 44.1; ""CCR"" or ""Change Control Request"" means a request for a change in the form specified in Schedule 10 (Change Control); ""CCN"" or ""Change Control Note"" means a form specified in Schedule 10 (Change Control); ""Change Control"" means the change control system set out in Schedule 10 (Change Control); ""Change Manager"" means a person appointed by the Supplier and Clifford Chance respectively to manage Change Control; ""Charges"" means the fees payable by Clifford Chance under this Agreement, calculated in accordance with Schedule 3 (Pricing); ""Checkpoint"" has the meaning given to it in Schedule 4 (Implementation Plan); ""Clifford Chance Client Data"" means the client data that Clifford Chance holds; ""Clifford Chance Entity"" means each of the partnership of Clifford Chance (the ""Partnership"") and its associated firms, as constituted from time to time, whether incorporated or not, trading under the name of or a name including Clifford Chance and/or associated financially with the Partnership or (in the case of a corporate entity) whose shares or similar proprietorship rights are held directly or indirectly in the interests of the Partnership or any associated firm; ""Clifford Chance Policies"" means the policies identified as such in Clause 24.1; ""Confidential Information"" means all information of a confidential nature: (a)     disclosed (by whatever means, directly or indirectly): (i)    by or on behalf of any Clifford Chance Entity or other Authorised User to the Supplier or a sub-contractor; or (ii)   by or on behalf of the Supplier or a sub-contractor to any Clifford Chance Entity, 53782-3-3224 v.01                               -2-                                        OFFICE  EXECUTION VERSION in connection with this Agreement, whether before or after the Effective Date, including any information relating to the Intellectual Property, systems, products, operations, processes, plans, intentions, product information, market opportunities or business affairs of the person making the disclosure or its group undertakings, sub-contractors, suppliers, customers, clients or other contacts; or (b)      which relates to the provision or use of the Core Services to or by Clifford Chance and is prepared, devised or written by the Supplier or a sub-contractor, and all information relating to any Clifford Chance Entity, the Authorised Users or its or their sub-contractors, suppliers, customers, clients or other contacts which is disclosed to, or processed or otherwise handled by, the Supplier or a sub-contractor in the course of the performance of the Supplier's obligations under this Agreement is deemed to be of a confidential nature and owned by Clifford Chance; ""Contract Managers"" means a person appointed by the Supplier and Clifford Chance respectively to manage all aspects of this Agreement; Core Services: means the services described in the Statement of Requirements, together with those activities described in Clause 6.6 ""Effective Date"" means the date of this Agreement; ""Emergency Change"" means a change designated as such by Clifford Chance's Change Manager; ""Exit Phase"" means the period from Start of Exit Phase until the Supplier has performed all of its obligations under Schedule 9 (Exit Arrangements); ""Exit Plan"" has the meaning given to it in Clause 29.1; ""Exit Transfer Time"" means: (a)      if this contract expires, the expiry date; (b)      if this contract terminates, the date upon which notice of termination takes effect; ""Force Majeure Event"" means strikes, lock-outs and labour disputes (excluding strikes, lock-outs and labour disputes involving Supplier Personnel), acts of God, war, riots, civil commotion, fires, floods and storms; ""Full Time Equivalent"" or ""FTE"" means one of the Supplier's personnel working fulltime (40 hours per week, excluding leave) to provide Core Services to Clifford Chance in accordance with this agreement; 53782-3-3224 v.01                                  -3-                                       OFFICE  EXECUTION VERSION ""GBP"" or ""£"" shall mean the lawful currency of the United Kingdom, which is commonly referred to as pounds sterling as of the date of this Agreement; ""Governance"" means the governance framework set out in Schedule 6 (Governance); ""Governance Council"" means the committee described as such in Schedule 6 (Governance); ""Implementation Plan"" means the plan set out in Schedule 4 (Implementation Plan); ""Intellectual Property Rights"" means all industrial and intellectual property rights, whether registered or not, including but not limited to domain names, copyrights (including any rights in software, patents, any rights in respect of unique marketing codes, trade, business and company names, colour combinations, logos, slogans, get-up, trade dress, packaging and marketing materials, as well as pending applications for registration of such rights and the right to apply for registration or extension of such rights; ""Knowledge Transfer Objective"" has the meaning given to it in Clause 17.1; ""Knowledge Transfer Recipients"" has the meaning given to it in Clause 17.1; ""Management Committee"" means the committee described as such in Schedule 6 (Governance); ""Maximum Liability Amount"" has the meaning given to it in sub-clause 32.3.2; ""New Supplier"" means any supplier taking over the provision of the Core Services and replacing the Supplier in this regard; ""OOH"" means, in relation to a Core Service, a Core Service provided out-of-hours; ""Operational Manual"" means a manual to be developed and maintained by the Supplier under Clause 8 (Operational Manual) that describes how the parties will work together and how the Core Services are to be performed; ""Operations Committee"" means the committee described as such in Schedule 6 (Governance); ""Permitted Purposes"" means all reasonable purposes for the performance of obligations under, or exercise of rights under, this Agreement; ""Redundancy"" shall have the meaning set out in s.139 Employment Rights Act 1996 or Part IV of the Trade Union and Labour Relations (Consolidation) Act 1992, as applicable; ""Redundancy Costs"" means all statutory and contractual redundancy payments, payments of salary and benefits in lieu of notice, including the cost of enhanced pension provided on redundancy or early retirement and any compensation payable 53782-3-3224 v.01                               -4-                                         OFFICE  EXECUTION VERSION for unfair dismissal or unlawful discrimination or protective awards made under the provisions of the Trade Union and Labour Relations (Consolidation) Act 1992; ""Remedy"" means the software used by Clifford Chance under the name Remedy; ""Regulator"" means any regulatory authority in any jurisdiction with oversight or other regulatory functions over any Clifford Chance Entity; ""Service Credits"" means the service credits awarded by the Supplier to Clifford Chance in accordance with Schedule 2 (Service Level Agreement); ""Service Level Agreement"" or ""SLA"" means Schedule 2 (Service Level Agreement), including, for the avoidance of doubt, any documents referred to therein; ""Service Levels"" means the service levels set out in Schedule 2 (Service Level Agreement); ""Services Commencement Date"" has the meaning given to it in Clause 6.1; ""Sites"" means each site to which the Core Services are provided; ""SRA"" means Solicitors Regulation Authority or its agent; ""Start of the Exit Phase"" means: (a)     in relation to the expiry of this Agreement, the date which is six months before expiry; (b)     in relation to the termination of this Agreement, in whole or in part, by notice, the date on which notice of termination is served; ""Statement of Requirements"" means the statement of requirements set out in Schedule 1(Statement of Requirements); ""Supplier DR/BCP Plan"" has the meaning given to it in Clause 30 (Business Continuity and Disaster Recovery); ""Supplier Group"" means the Supplier and its group undertakings; ""Supplier Personnel"" means the individuals employed or engaged by the Supplier or any member of the Supplier Group or, if any agreement is made to subcontract, their sub-contractors who are involved from time to time in the performance of the Core Services (whether or not they are wholly or mainly engaged in the Core Services) or who performs the other obligations under the Agreement and ""Supplier Person"" means any one of them; and 1.2       In this Agreement, a reference to: 53782-3-3224 v.01                               -5-                                      OFFICE  EXECUTION VERSION 1.2.1   a ""group undertaking"" means a ""parent undertaking"" or a ""subsidiary undertaking"", and those terms shall have the respective meanings given to them in sections 1161 and 1162 Companies Act 2006; 1.2.2   this Agreement includes a reference to the clauses of and the Schedules and appendices to this Agreement; 1.2.3   a statutory provision includes a reference to the statutory provision as modified or re enacted or both from time to time before or after the relevant Effective Date and any subordinate legislation made or other things done under the statutory provision before or after the relevant Effective Date, and to any successor statutory provisions after the relevant Effective Date; 1.2.4   a document is a reference to that document as modified or replaced from time to time; 1.2.5   a person includes a reference to a government, state, state agency, corporation, body corporate, company, association or partnership or other similar entity; and to that person's legal personal representatives, permitted successors and permitted assigns; 1.2.6   the singular includes the plural and vice versa (unless the context otherwise requires); 1.2.7   the word ""include"" or ""including"" is to be construed without limitation; 1.2.8   a Schedule or Appendix, unless the context requires otherwise, is a reference to a schedule or an appendix to this Agreement; 1.2.9   an obligation to indemnify any person: (a)     is to be construed as including an obligation to hold that person harmless and to keep that person indemnified; and (b)     against a liability is to be construed as including an obligation to indemnify that person against each loss, liability, and cost (including reasonable legal expenses) arising as a result of defending or settling the claim which gave rise gave rise to the claim under the indemnity; and (c)     shall be construed as including an obligation to indemnify, to the extent relevant, each director, officer, employee or contractor of that person. "
"Sample-2.pdf","Indemnity","11","306","This will include obligations of confidentiality and Intellectual Property licensing and indemnity provisions. "
"Sample-2.pdf","Indemnity","12","343","CONDUCT OF INDEMNITY CLAIMS Where the Supplier or Clifford Chance (as appropriate) (an ""Indemnified Party"") wishes to rely on any indemnity given to it by the other (""Indemnifying Party"") under this Agreement, the Indemnified Party must: 34.1.1  notify the Indemnifying Party immediately of the matter (stating in reasonable detail the nature of the matter and, if practicable, the amount claimed) and consult with the Indemnifying Party with respect to the matter (if the matter has become the subject of court or other judicial proceedings the Indemnified Party must notify the Indemnifying Party within sufficient time to enable the Indemnifying Party to contest the proceedings before final judgment); 34.1.2  take any action and institute and conduct any proceedings required by the Indemnifying Party in accordance with its requirements, and give any further information and assistance that the Indemnifying Party may reasonably request and the Indemnified Party may reasonably be able to provide, to: (a) dispute, resist, appeal, compromise, defend, remedy or mitigate the matter; or (b) enforce against a person (other than the Indemnifying Party) the Indemnified Party's rights in relation to the matter; 34.1.3  in connection with proceedings related to the matter (other than against the Indemnifying Party) use advisers chosen by the Indemnifying Party and, if the Indemnifying Party requests, allow the Indemnifying Party the exclusive conduct of the proceedings; and 34.1.4  not admit liability in respect of, or settle or prejudice in any way, the matter without first obtaining the Indemnifying Party's written consent. "
"Sample-2.pdf","Confidentiality","5","80","Confidentiality ............................................................................................................... "
"Sample-2.pdf","Confidentiality","6","125","CONDITIONS PRECEDENT 2.1       With the exception of this Clause 2 and Clauses 40 (Confidentiality), 40.1, 46 (Further Assurance), 47 (Dispute Resolution) and 48 (Governing Law) (all of which shall become effective immediately on the Effective Date), the entry into force of this Agreement is conditional on successful completion by Clifford Chance of any relevant consultation exercises with employees and/or employee representative bodies in all countries affected by the Core Services. "
"Sample-2.pdf","Confidentiality","6","128","2.3       Only Clifford Chance will be entitled to terminate this Agreement, without incurring liability or costs of any nature whatsoever, if any of the Conditions have not been satisfied (or waived by Clifford Chance) within 180 days after the Effective Date; however termination shall not affect Clauses 40 (Confidentiality), 40.1, 46 (Further Assurance), 47 (Dispute Resolution) and 48 (Governing Law). "
"Sample-2.pdf","Confidentiality","7","177","Supplier agrees to make disclosures, which 53782-3-3224 v.01                               - 14 -                                     OFFICE  EXECUTION VERSION are reasonably required in the circumstances, provided that those third parties are subject to adequate confidentiality obligations (which could be those already in existence between the third parties and Clifford Chance). "
"Sample-2.pdf","Confidentiality","9","251","20.5      Audits may be carried out specifically for the following reasons, in addition to the general ability of Clifford Chance above to carry out audits (but Clifford Chance will not be required to inform the Supplier of the reason for the audit), namely to: 20.5.1  investigate or identify suspected fraud or material defaults; 20.5.2  enable Clifford Chance to carry out its internal audit function and/or any statutory audit obligations; 20.5.3  verify the accuracy of the Charges and any other amounts payable by Clifford Chance under this Agreement; 20.5.4  verify that the Core Services are being provided in accordance with this Agreement; 20.5.5  verify that the equipment and facilities used by the Supplier in connection with this Agreement are sufficient to protect the integrity, operational availability, confidentiality, security and (where applicable) anonymity of Clifford Chance's data and confidential information; 20.5.6  verify compliance by the Supplier with all applicable Clifford Chance Policies and other obligations under this Agreement; 20.5.7  monitor and assess whether the Supplier is performing its obligations under this Agreement; 20.5.8  conduct any risk assessment that Clifford Chance may wish to conduct to assess the possible impact of the Core Services on Clifford Chance's business; 53782-3-3224 v.01                                - 22 -                                    OFFICE  EXECUTION VERSION 20.5.9  review the Supplier's service level measurement, monitoring and reporting processes; 20.5.10 review, inspect, test, verify, measure or interview any Suppliers' affiliates, partners and suppliers; and 20.5.11 verify the Clifford Chance's compliance with the SRA's Code of Conduct. "
